item_id,order_id,product_id,quantity,unit_price,discount_percent,total_price
1,ORD00708,P090,2,210,5,399.0
2,ORD01834,P006,1,3090,0,3090.0
3,ORD02502,P072,1,5410,0,5410.0
4,ORD04307,P078,1,260,5,247.0
5,ORD04328,P092,1,370,5,351.5
6,ORD03377,P039,3,480,0,1440.0
7,ORD00959,P074,1,1980,5,1881.0
8,ORD04835,P005,5,3920,0,19600.0
9,ORD01778,P025,3,5570,0,16710.0
10,ORD04601,P094,2,510,0,1020.0
11,ORD01242,P030,4,1660,15,5644.0
12,ORD03267,P063,1,1930,20,1544.0
13,ORD00567,P062,1,450,0,450.0
14,ORD01784,P089,5,3940,15,16745.0
15,ORD00756,P080,1,8110,15,6893.5
16,ORD03926,P038,1,650,0,650.0
17,ORD00248,P015,2,750,10,1350.0
18,ORD01302,P003,2,2910,0,5820.0
19,ORD02159,P076,3,240,0,720.0
20,ORD04040,P010,3,5910,15,15070.5
21,ORD03890,P099,4,2170,0,8680.0
22,ORD04063,P059,3,5810,10,15687.0
23,ORD01258,P046,4,710,0,2840.0
24,ORD00617,P049,2,520,0,1040.0
25,ORD00214,P026,4,4300,20,13760.0
26,ORD04128,P094,1,510,0,510.0
27,ORD00450,P041,4,2410,20,7712.0
28,ORD00254,P025,5,5570,5,26457.5
29,ORD01686,P008,4,5280,0,21120.0
30,ORD03782,P003,1,2910,0,2910.0
31,ORD04977,P036,4,1210,15,4114.0
32,ORD03252,P051,5,2600,0,13000.0
33,ORD01122,P099,2,2170,0,4340.0
34,ORD03779,P008,1,5280,5,5016.0
35,ORD02608,P067,1,3370,10,3033.0
36,ORD04752,P064,1,680,0,680.0
37,ORD00398,P072,4,5410,0,21640.0
38,ORD01496,P028,3,4330,0,12990.0
39,ORD00251,P097,4,2020,0,8080.0
40,ORD04379,P100,4,3910,0,15640.0
41,ORD04438,P089,5,3940,5,18715.0
42,ORD01402,P032,4,660,0,2640.0
43,ORD00043,P074,4,1980,0,7920.0
44,ORD04298,P042,5,6210,10,27945.0
45,ORD01159,P088,3,1770,5,5044.5
46,ORD02767,P096,3,4220,0,12660.0
47,ORD00923,P028,5,4330,10,19485.0
48,ORD04720,P054,1,1830,20,1464.0
49,ORD02547,P067,2,3370,10,6066.0
50,ORD01927,P055,4,1840,5,6992.0
51,ORD01690,P071,4,7700,0,30800.0
52,ORD04609,P082,2,990,0,1980.0
53,ORD01971,P069,1,690,0,690.0
54,ORD01929,P053,3,6220,0,18660.0
55,ORD04251,P040,4,4350,0,17400.0
56,ORD02241,P067,4,3370,10,12132.0
57,ORD02178,P013,4,1410,0,5640.0
58,ORD00724,P017,1,1150,0,1150.0
59,ORD00866,P059,3,5810,0,17430.0
60,ORD01382,P074,4,1980,5,7524.0
61,ORD00306,P016,3,990,0,2970.0
62,ORD02474,P001,5,5230,0,26150.0
63,ORD02207,P033,1,2160,0,2160.0
64,ORD01461,P070,1,2230,10,2007.0
65,ORD01755,P090,4,210,15,714.0
66,ORD00596,P054,5,1830,0,9150.0
67,ORD00836,P040,4,4350,15,14790.0
68,ORD01625,P049,1,520,0,520.0
69,ORD04978,P022,4,7880,10,28368.0
70,ORD00182,P043,3,4260,0,12780.0
71,ORD02209,P049,3,520,15,1326.0
72,ORD01438,P095,4,4480,5,17024.0
73,ORD02022,P049,5,520,10,2340.0
74,ORD01897,P064,4,680,0,2720.0
75,ORD02187,P004,2,6680,0,13360.0
76,ORD02234,P081,3,3660,0,10980.0
77,ORD02769,P073,3,5040,5,14364.0
78,ORD03474,P004,1,6680,0,6680.0
79,ORD00057,P012,1,340,5,323.0
80,ORD03389,P083,2,570,0,1140.0
81,ORD01228,P029,5,2480,0,12400.0
82,ORD04810,P061,3,3200,5,9120.0
83,ORD00811,P084,4,2390,10,8604.0
84,ORD01702,P050,5,7950,0,39750.0
85,ORD03012,P085,1,2550,15,2167.5
86,ORD02662,P087,4,1870,0,7480.0
87,ORD04797,P025,3,5570,0,16710.0
88,ORD04953,P074,1,1980,0,1980.0
89,ORD02955,P005,5,3920,0,19600.0
90,ORD01549,P053,3,6220,15,15861.0
91,ORD00158,P031,3,510,10,1377.0
92,ORD02064,P072,3,5410,0,16230.0
93,ORD03882,P060,1,1970,0,1970.0
94,ORD03441,P023,4,2250,15,7650.0
95,ORD02710,P092,5,370,0,1850.0
96,ORD01017,P040,2,4350,5,8265.0
97,ORD02912,P033,3,2160,5,6156.0
98,ORD03172,P055,5,1840,0,9200.0
99,ORD01133,P011,4,2250,10,8100.0
100,ORD02898,P056,2,830,5,1577.0
101,ORD01381,P065,1,5610,20,4488.0
102,ORD00920,P054,1,1830,5,1738.5
103,ORD03661,P027,3,8050,0,24150.0
104,ORD04752,P085,3,2550,5,7267.5
105,ORD02613,P075,2,3180,0,6360.0
106,ORD00963,P053,2,6220,5,11818.0
107,ORD01330,P055,3,1840,15,4692.0
108,ORD04214,P078,4,260,10,936.0
109,ORD00379,P007,1,980,0,980.0
110,ORD03811,P072,1,5410,0,5410.0
111,ORD02326,P082,3,990,0,2970.0
112,ORD00614,P095,2,4480,0,8960.0
113,ORD02217,P100,5,3910,0,19550.0
114,ORD02309,P012,3,340,0,1020.0
115,ORD02009,P041,3,2410,10,6507.0
116,ORD04439,P026,2,4300,5,8170.0
117,ORD04382,P061,3,3200,15,8160.0
118,ORD04030,P074,5,1980,0,9900.0
119,ORD01705,P007,2,980,0,1960.0
120,ORD02669,P049,3,520,5,1482.0
121,ORD03870,P013,1,1410,0,1410.0
122,ORD04591,P017,1,1150,10,1035.0
123,ORD03840,P005,5,3920,10,17640.0
124,ORD02275,P010,1,5910,5,5614.5
125,ORD04726,P016,1,990,20,792.0
126,ORD00977,P010,3,5910,15,15070.5
127,ORD02112,P033,4,2160,10,7776.0
128,ORD00670,P014,5,3350,15,14237.5
129,ORD01976,P008,5,5280,5,25080.0
130,ORD02486,P023,3,2250,15,5737.5
131,ORD04010,P028,5,4330,15,18402.5
132,ORD02757,P091,2,2030,0,4060.0
133,ORD03956,P038,5,650,5,3087.5
134,ORD04060,P059,1,5810,0,5810.0
135,ORD04591,P072,1,5410,5,5139.5
136,ORD02791,P032,2,660,0,1320.0
137,ORD00777,P021,1,9290,10,8361.0
138,ORD04546,P004,5,6680,20,26720.0
139,ORD01360,P052,4,640,5,2432.0
140,ORD04797,P008,5,5280,0,26400.0
141,ORD03325,P053,1,6220,0,6220.0
142,ORD03526,P047,2,2430,5,4617.0
143,ORD01762,P074,3,1980,5,5643.0
144,ORD03358,P040,4,4350,10,15660.0
145,ORD04339,P018,1,2720,10,2448.0
146,ORD00010,P002,2,1180,5,2242.0
147,ORD03870,P002,5,1180,10,5310.0
148,ORD00174,P058,1,820,10,738.0
149,ORD03993,P067,1,3370,5,3201.5
150,ORD04196,P097,4,2020,15,6868.0
151,ORD03561,P097,5,2020,0,10100.0
152,ORD00300,P064,1,680,5,646.0
153,ORD04218,P031,3,510,5,1453.5
154,ORD04865,P020,4,4350,5,16530.0
155,ORD02495,P070,4,2230,15,7582.0
156,ORD01442,P079,4,640,0,2560.0
157,ORD03890,P037,3,7960,10,21492.0
158,ORD03236,P041,4,2410,0,9640.0
159,ORD03858,P051,3,2600,5,7410.0
160,ORD00736,P099,5,2170,5,10307.5
161,ORD04114,P014,4,3350,20,10720.0
162,ORD02224,P064,4,680,5,2584.0
163,ORD00029,P006,2,3090,0,6180.0
164,ORD01085,P097,2,2020,0,4040.0
165,ORD03584,P023,4,2250,5,8550.0
166,ORD01850,P008,2,5280,0,10560.0
167,ORD03187,P085,3,2550,0,7650.0
168,ORD03042,P057,2,2710,0,5420.0
169,ORD00271,P060,3,1970,10,5319.0
170,ORD00322,P094,4,510,0,2040.0
171,ORD00709,P056,5,830,0,4150.0
172,ORD01217,P035,4,7450,0,29800.0
173,ORD03921,P048,1,5520,0,5520.0
174,ORD04571,P026,4,4300,10,15480.0
175,ORD04709,P076,1,240,0,240.0
176,ORD02935,P027,4,8050,10,28980.0
177,ORD03344,P077,2,2940,0,5880.0
178,ORD04036,P056,2,830,0,1660.0
179,ORD02113,P017,2,1150,5,2185.0
180,ORD02908,P090,4,210,0,840.0
181,ORD04257,P030,4,1660,0,6640.0
182,ORD01795,P064,2,680,0,1360.0
183,ORD04750,P027,1,8050,0,8050.0
184,ORD01880,P092,4,370,10,1332.0
185,ORD00436,P001,5,5230,5,24842.5
186,ORD02558,P019,2,390,0,780.0
187,ORD00279,P027,4,8050,0,32200.0
188,ORD01619,P025,2,5570,15,9469.0
189,ORD01611,P088,1,1770,5,1681.5
190,ORD04403,P066,2,660,5,1254.0
191,ORD03008,P052,1,640,0,640.0
192,ORD03989,P071,1,7700,0,7700.0
193,ORD01796,P057,1,2710,5,2574.5
194,ORD03045,P097,1,2020,5,1919.0
195,ORD03449,P074,4,1980,5,7524.0
196,ORD03164,P038,3,650,10,1755.0
197,ORD02921,P040,3,4350,10,11745.0
198,ORD01181,P013,3,1410,5,4018.5
199,ORD04419,P029,4,2480,5,9424.0
200,ORD01289,P056,3,830,0,2490.0
201,ORD01690,P092,2,370,5,703.0
202,ORD03689,P026,5,4300,0,21500.0
203,ORD04337,P047,5,2430,0,12150.0
204,ORD01088,P068,5,1770,0,8850.0
205,ORD04688,P005,2,3920,5,7448.0
206,ORD04975,P060,5,1970,15,8372.5
207,ORD01731,P011,3,2250,0,6750.0
208,ORD01352,P013,5,1410,5,6697.5
209,ORD04765,P087,4,1870,20,5984.0
210,ORD02973,P100,1,3910,5,3714.5
211,ORD00245,P017,3,1150,0,3450.0
212,ORD03571,P056,5,830,0,4150.0
213,ORD00302,P052,4,640,0,2560.0
214,ORD02439,P064,4,680,5,2584.0
215,ORD02440,P073,5,5040,5,23940.0
216,ORD03511,P032,2,660,5,1254.0
217,ORD02936,P093,5,1750,0,8750.0
218,ORD00008,P030,5,1660,0,8300.0
219,ORD02543,P019,4,390,0,1560.0
220,ORD01251,P014,3,3350,0,10050.0
221,ORD03281,P031,4,510,0,2040.0
222,ORD04693,P087,4,1870,0,7480.0
223,ORD04946,P033,5,2160,0,10800.0
224,ORD04887,P037,1,7960,0,7960.0
225,ORD04612,P045,3,6940,10,18738.0
226,ORD02343,P054,3,1830,0,5490.0
227,ORD03015,P026,1,4300,5,4085.0
228,ORD04207,P063,2,1930,0,3860.0
229,ORD01226,P095,1,4480,0,4480.0
230,ORD01200,P095,4,4480,15,15232.0
231,ORD03115,P086,4,3800,0,15200.0
232,ORD01375,P045,4,6940,5,26372.0
233,ORD03779,P027,2,8050,0,16100.0
234,ORD01676,P037,5,7960,5,37810.0
235,ORD04623,P028,5,4330,20,17320.0
236,ORD03491,P086,4,3800,0,15200.0
237,ORD00787,P075,1,3180,0,3180.0
238,ORD00086,P039,5,480,5,2280.0
239,ORD03247,P093,1,1750,10,1575.0
240,ORD01703,P096,2,4220,0,8440.0
241,ORD02493,P097,4,2020,10,7272.0
242,ORD04569,P074,2,1980,5,3762.0
243,ORD04212,P046,5,710,0,3550.0
244,ORD02289,P012,4,340,20,1088.0
245,ORD00478,P079,1,640,5,608.0
246,ORD04061,P013,4,1410,0,5640.0
247,ORD02997,P082,5,990,0,4950.0
248,ORD02340,P045,4,6940,10,24984.0
249,ORD02228,P054,4,1830,20,5856.0
250,ORD02459,P033,4,2160,10,7776.0
251,ORD01916,P070,4,2230,10,8028.0
252,ORD00467,P096,3,4220,0,12660.0
253,ORD04691,P004,3,6680,0,20040.0
254,ORD02825,P012,5,340,0,1700.0
255,ORD04443,P039,4,480,0,1920.0
256,ORD04862,P068,5,1770,5,8407.5
257,ORD03646,P036,2,1210,10,2178.0
258,ORD02907,P006,5,3090,10,13905.0
259,ORD04163,P041,5,2410,0,12050.0
260,ORD00333,P051,2,2600,10,4680.0
261,ORD00474,P020,2,4350,0,8700.0
262,ORD04675,P083,5,570,10,2565.0
263,ORD03195,P036,4,1210,10,4356.0
264,ORD01355,P034,2,5160,0,10320.0
