order_id,customer_id,order_date,status,payment_method,shipping_city,shipping_state,order_year,order_month,order_quarter,order_weekday,order_week_number
ORD00001,C0546,2022-05-02,Delivered,Net Banking,Belagavi,Karnataka,2022,5,Q2,Monday,18
ORD00002,C0784,2022-11-23,Cancelled,Credit Card,Chennai,Tamil Nadu,2022,11,Q4,Wednesday,47
ORD00003,C0454,2023-10-15,Pending,UPI,Udaipur,Rajasthan,2023,10,Q4,Sunday,41
ORD00004,C0135,2022-07-09,Delivered,COD,New Delhi,Delhi,2022,7,Q3,Saturday,27
ORD00005,C0621,2023-08-04,Delivered,Credit Card,Gwalior,Madhya Pradesh,2023,8,Q3,Friday,31
ORD00006,C0368,2022-03-23,Delivered,Credit Card,New Delhi,Delhi,2022,3,Q1,Wednesday,12
ORD00007,C0481,2023-12-31,Delivered,UPI,Khammam,Telangana,2023,12,Q4,Sunday,52
ORD00008,C0486,2022-05-21,Delivered,UPI,Kota,Rajasthan,2022,5,Q2,Saturday,20
ORD00009,C0948,2022-10-04,Pending,UPI,Jaipur,Rajasthan,2022,10,Q4,Tuesday,40
ORD00010,C0068,2022-07-01,Pending,COD,Dwarka,Delhi,2022,7,Q3,Friday,26
ORD00011,C0705,2022-11-29,Cancelled,Net Banking,Jabalpur,Madhya Pradesh,2022,11,Q4,Tuesday,48
ORD00012,C0795,2022-02-12,Delivered,Net Banking,Kota,Rajasthan,2022,2,Q1,Saturday,6
ORD00013,C0627,2023-08-09,Delivered,Credit Card,Asansol,West Bengal,2023,8,Q3,Wednesday,32
ORD00014,C0112,2023-04-08,Delivered,Net Banking,Aurangabad,Maharashtra,2023,4,Q2,Saturday,14
ORD00015,C0551,2023-02-10,Pending,UPI,Saket,Delhi,2023,2,Q1,Friday,6
ORD00016,C0784,2023-10-08,Pending,UPI,Ajmer,Rajasthan,2023,10,Q4,Sunday,40
ORD00017,C0906,2022-11-08,Returned,UPI,Rajkot,Gujarat,2022,11,Q4,Tuesday,45
ORD00018,C0302,2023-09-20,Pending,Debit Card,Salem,Tamil Nadu,2023,9,Q3,Wednesday,38
ORD00019,C0850,2023-10-24,Delivered,Debit Card,Salem,Tamil Nadu,2023,10,Q4,Tuesday,43
ORD00020,C0798,2023-08-23,Pending,Debit Card,Mysuru,Karnataka,2023,8,Q3,Wednesday,34
ORD00021,C0424,2022-11-28,Delivered,UPI,Salem,Tamil Nadu,2022,11,Q4,Monday,48
ORD00022,C0904,2023-04-11,Delivered,UPI,Indore,Madhya Pradesh,2023,4,Q2,Tuesday,15
ORD00023,C0094,2022-04-27,Returned,Debit Card,Chennai,Tamil Nadu,2022,4,Q2,Wednesday,17
ORD00024,C0725,2023-01-29,Returned,COD,Belagavi,Karnataka,2023,1,Q1,Sunday,4
ORD00025,C0388,2023-07-18,Delivered,Debit Card,Indore,Madhya Pradesh,2023,7,Q3,Tuesday,29
ORD00026,C0893,2023-11-07,Cancelled,UPI,Siliguri,West Bengal,2023,11,Q4,Tuesday,45
ORD00027,C0788,2023-12-31,Delivered,UPI,Coimbatore,Tamil Nadu,2023,12,Q4,Sunday,52
