order_id,customer_id,order_date,status,payment_method,shipping_city,shipping_state
ORD00001,C0546,2022-05-02,Delivered,Net Banking,Belagavi,Karnataka
ORD00002,C0784,2022-11-23,Cancelled,Credit Card,Chennai,Tamil Nadu
ORD00003,C0454,2023-10-15,Pending,UPI,Udaipur,Rajasthan
ORD00004,C0135,2022-07-09,Delivered,COD,New Delhi,Delhi
ORD00005,C0621,2023-08-04,Delivered,Credit Card,Gwalior,Madhya Pradesh
ORD00006,C0368,2022-03-23,Delivered,Credit Card,New Delhi,Delhi
ORD00007,C0481,2023-12-31,Delivered,UPI,Khammam,Telangana
ORD00008,C0486,2022-05-21,Delivered,UPI,Kota,Rajasthan
ORD00009,C0948,2022-10-04,Pending,UPI,Jaipur,Rajasthan
ORD00010,C0068,2022-07-01,Pending,COD,Dwarka,Delhi
ORD00011,C0705,2022-11-29,Cancelled,Net Banking,Jabalpur,Madhya Pradesh
ORD00012,C0795,2022-02-12,Delivered,Net Banking,Kota,Rajasthan
ORD00013,C0627,2023-08-09,Delivered,Credit Card,Asansol,West Bengal
ORD00014,C0112,2023-04-08,Delivered,Net Banking,Aurangabad,Maharashtra
ORD00015,C0551,2023-02-10,Pending,UPI,Saket,Delhi
ORD00016,C0784,2023-10-08,Pending,UPI,Ajmer,Rajasthan
ORD00017,C0906,2022-11-08,Returned,UPI,Rajkot,Gujarat
ORD00018,C0302,2023-09-20,Pending,Debit Card,Salem,Tamil Nadu
ORD00019,C0850,2023-10-24,Delivered,Debit Card,Salem,Tamil Nadu
ORD00020,C0798,2023-08-23,Pending,Debit Card,Mysuru,Karnataka
ORD00021,C0424,2022-11-28,Delivered,UPI,Salem,Tamil Nadu
ORD00022,C0904,2023-04-11,Delivered,UPI,Indore,Madhya Pradesh
ORD00023,C0094,2022-04-27,Returned,Debit Card,Chennai,Tamil Nadu
ORD00024,C0725,2023-01-29,Returned,COD,Belagavi,Karnataka
ORD00025,C0388,2023-07-18,Delivered,Debit Card,Indore,Madhya Pradesh
ORD00026,C0893,2023-11-07,Cancelled,UPI,Siliguri,West Bengal
ORD00027,C0788,2023-12-31,Delivered,UPI,Coimbatore,Tamil Nadu
